company_name,bse_code,nse_code,industry,sector,sector_v1
Solar Industries,532725,SOLARINDS,Chemicals & Petrochemicals,Explosives,Explosives
Mah. Scooters,500266,MAHSCOOTER,Finance,Investment Company,Finance
Neuland Labs.,524558,NEULANDLAB,Pharmaceuticals & Biotechnology,Pharmaceuticals,Pharmaceuticals & Biotechnology
TVS Holdings,520056,TVSHLTD,Finance,Investment Company,Finance
ZF Commercial,533023,ZFCVINDIA,Auto Components,Auto Components & Equipments,Auto Components & Equipments
LMW,500252,LMW,Industrial Manufacturing,Industrial Products,Industrial Products
Maruti Suzuki,532500,MARUTI,Automobiles,Passenger Cars & Utility Vehicles,Automobiles
Hitachi Energy,543187,POWERINDIA,Electrical Equipment,Heavy Electrical Equipment,Electrical Equipment
JSW Holdings,532642,JSWHL,Finance,Investment Company,Finance
PTC Industries,539006,PTCIL,Industrial Products,Other Industrial Products,Other Industrial Products
Force Motors,500033,FORCEMOT,Automobiles,Passenger Cars & Utility Vehicles,Automobiles
Yamuna Syndicate,540980,,Commercial Services & Supplies,Trading & Distributors,Trading & Distributors
Shree Cement,500387,SHREECEM,Cement & Cement Products,Cement & Cement Products,Cement & Cement Products
Abbott India,500488,ABBOTINDIA,Pharmaceuticals & Biotechnology,Pharmaceuticals,Pharmaceuticals & Biotechnology
Honeywell Auto,517174,HONAUT,Industrial Manufacturing,Industrial Products,Industrial Products
Page Industries,532827,PAGEIND,Textiles & Apparels,Garments & Apparels,Garments & Apparels
3M India,523395,3MINDIA,Diversified,Diversified,Diversified
Bosch,500530,BOSCHLTD,Auto Components,Auto Components & Equipments,Auto Components & Equipments
Elcid Investment,503681,,Finance,Investment Company,Finance
MRF,500290,MRF,Auto Components,Tyres & Rubber Products,Tyres & Rubber Products
