,company_name,bse_code,Industry,Sector
543,Divgi Torq,543812,Auto Components,Auto Components & Equipments
544,Divi's Lab.,532488,Pharmaceuticals & Biotechnology,Pharmaceuticals
545,Divine Hira Jew.,,Consumer Durables,"Gems, Jewellery And Watches"
546,Divine Power,,Industrial Products,Cables - Electricals
547,Dixon Technolog.,540699,Consumer Durables,Consumer Electronics
548,DJ Mediaprint,543193,Transport Services,Logistics Solution Provider
549,DLF,532868,Realty,"Residential, Commercial Projects"
550,DMCC Speciality,506405,Chemicals & Petrochemicals,Specialty Chemicals
551,Dodla Dairy,543306,Food Products,Dairy Products
552,Dolat Algotech,505526,Capital Markets,Stockbroking & Allied
553,Dollar Industrie,541403,Textiles & Apparels,Garments & Apparels
554,Dolphin Offshore,522261,Oil,Offshore Support Solution Drilling
555,DOMS Industries,544045,Household Products,Stationary
556,Donear Inds.,512519,Textiles & Apparels,Other Textile Products
557,Dr Agarwal's Eye,526783,Healthcare Services,Hospital
558,Dr Agarwal's Hea,544350,Healthcare Services,Hospital
559,Dr Lal Pathlabs,539524,Healthcare Services,Healthcare Service Provider
560,Dr Reddy's Labs,500124,Pharmaceuticals & Biotechnology,Pharmaceuticals
561,Dreamfolks Servi,543591,Transport Infrastructure,Airport & Airport services
562,Dredging Corpn.,523618,Engineering Services,Dredging
563,DSM Fresh,544568,Food Products,Meat Products including Poultry
564,Dwarikesh Sugar,532610,Agricultural Food & other Products,Sugar
565,Dynacons Sys.,532365,IT - Services,IT Enabled Services
566,Dynamatic Tech.,505242,Industrial Manufacturing,Industrial Products
567,Dynamic Cables,540795,Industrial Products,Cables - Electricals
568,Dynemic Products,532707,Chemicals & Petrochemicals,Specialty Chemicals
569,E Factor Experie,,Other Consumer Services,Other Consumer Services
570,E to E Transportation,,Construction,Civil Construction
571,E2E Networks,,IT - Services,IT Enabled Services
572,Easy Trip Plann.,543272,Leisure Services,"Tour, Travel Related Services"
573,eClerx Services,532927,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
574,Eco Recyc.,530643,Other Utilities,Waste Management
575,Ecoline Exim,,Industrial Products,Packaging
576,Ecos (India),544239,Transport Services,Road Transport
577,Edelweiss.Fin.,532922,Finance,Holding Company
578,EFC (I),512008,Commercial Services & Supplies,Diversified Commercial Services
579,Effwa Infra,,Other Utilities,Waste Management
580,Eicher Motors,505200,Automobiles,2/3 Wheelers
581,EID Parry,500125,Food Products,Other Food Products
582,EIH,500840,Leisure Services,Hotels & Resorts
583,EIH Assoc.Hotels,523127,Leisure Services,Hotels & Resorts
584,Eimco Elecon(I),523708,Industrial Manufacturing,Industrial Products
585,Ekansh Concept,531364,Commercial Services & Supplies,Consulting Services
586,EKI Energy,543284,Commercial Services & Supplies,Consulting Services
587,Elantas Beck,500123,Chemicals & Petrochemicals,Specialty Chemicals
588,Elcid Investment,503681,Finance,Investment Company
589,Eldeco Housing,523329,Realty,"Residential, Commercial Projects"
590,Elecon Engg.Co,505700,Electrical Equipment,Heavy Electrical Equipment
591,Electronics Mart,543626,Retailing,Diversified Retail
592,Electrost.Cast.,500128,Industrial Products,Iron & Steel Products
593,Electrotherm(I),526608,Industrial Products,Iron & Steel Products
594,Elgi Equipments,522074,Industrial Products,"Compressors, Pumps & Diesel Engines"
595,Elin Electronics,543725,Consumer Durables,Household Appliances
596,Elitecon Inter.,539533,Cigarettes & Tobacco Products,Cigarettes & Tobacco Products
597,Ellen.Indl.Gas,544421,Chemicals & Petrochemicals,Industrial Gases
598,Elpro Internatio,504000,Realty,"Residential, Commercial Projects"
599,Emami,531162,Personal Products,Personal Care
600,Emami Paper,533208,"Paper, Forest & Jute Products",Paper & Paper Products
601,Emami Realty Ltd,533218,Realty,"Residential, Commercial Projects"
602,Embassy Develop,532832,Realty,"Residential, Commercial Projects"
603,Embassy Off.REIT,542602,Realty,Real Estate Investment Trusts (REITs)
604,Emcure Pharma,544210,Pharmaceuticals & Biotechnology,Pharmaceuticals
605,Emerald Leisures,507265,Leisure Services,Hotels & Resorts
606,Emk.Global Fin.,532737,Capital Markets,Stockbroking & Allied
607,Emkay Tools,,Industrial Manufacturing,Industrial Products
608,Emmforce Auto.,544166,Auto Components,Auto Components & Equipments
609,Emmvee Photovol.,544608,Electrical Equipment,Other Electrical Equipment
610,Empire Inds.,509525,Diversified,Diversified
611,Emrock Corporation,531676,Food Products,Packaged Foods
612,EMS,543983,Other Utilities,Waste Management
613,eMudhra,543533,IT - Services,IT Enabled Services
614,Encompass Design,,Commercial Services & Supplies,Trading & Distributors
615,Endurance Tech.,540153,Auto Components,Auto Components & Equipments
616,Energy InfrTrust,542543,Gas,Gas Transmission/Marketing
617,Engineers India,532178,Construction,Civil Construction
618,Enkei Wheels,533477,Auto Components,Auto Components & Equipments
619,Ent.Network,532700,Entertainment,Media & Entertainment
620,Entero Healthcar,544122,Retailing,Pharmacy Retail
621,Enviro Infra,544290,Other Utilities,Water Supply & Management
622,Epack Durable,544095,Consumer Durables,Household Appliances
623,EPack PrefabTech,544540,Industrial Manufacturing,Industrial Products
624,Epigral,543332,Chemicals & Petrochemicals,Specialty Chemicals
625,EPL Ltd,500135,Industrial Products,Packaging
626,Equitas Sma. Fin,543243,Banks,Other Bank
627,Eraaya Lifespace,531035,Automobiles,2/3 Wheelers
628,ERIS Lifescience,540596,Pharmaceuticals & Biotechnology,Pharmaceuticals
629,Esab India,500133,Industrial Products,Other Industrial Products
630,ESAF Small Fin,544020,Banks,Other Bank
631,Escorts Kubota,500495,"Agricultural, Commercial & Construction Vehicles",Tractors
632,Espire Hospi,532016,Leisure Services,Hotels & Resorts
633,Essar Shipping,533704,Transport Services,Shipping
634,Essen Speciality,,Consumer Durables,Plastic Products - Consumer
635,Ester Industries,500136,Industrial Products,Packaging
636,Eternal,543320,Retailing,E-Retail/ E-Commerce
637,Ethos,543532,Consumer Durables,"Gems, Jewellery And Watches"
638,Eureka Forbes,543482,Consumer Durables,Household Appliances
639,Euro India Fresh,,Food Products,Packaged Foods
640,Euro Panel,544461,Industrial Products,"Aluminium, Copper & Zinc Products"
641,Euro Pratik Sale,544519,Consumer Durables,"Furniture, Home Furnishing"
642,Eveready Inds.,531508,Household Products,Household Products
643,Everest Inds.,508906,Other Construction Materials,Other Construction Materials
644,Everest Kanto,532684,Industrial Manufacturing,Industrial Products
645,Everest Organics,524790,Pharmaceuticals & Biotechnology,Pharmaceuticals
646,Evexia Lifecare,524444,Chemicals & Petrochemicals,Trading - Chemicals
647,Exato Technologies,544626,IT - Services,IT Enabled Services
648,Excel Industries,500650,Chemicals & Petrochemicals,Specialty Chemicals
649,Excelsoft Tech.,544617,IT - Services,IT Enabled Services
650,Exhicon Events,543895,Other Consumer Services,Other Consumer Services
651,Exicom Tele-Sys.,544133,Electrical Equipment,Heavy Electrical Equipment
652,Exide Inds.,500086,Auto Components,Auto Components & Equipments
653,Exim Routes,,"Paper, Forest & Jute Products",Paper & Paper Products
654,Expleo Solutions,533121,IT - Services,IT Enabled Services
655,Exxaro Tiles,543327,Consumer Durables,Ceramics
656,F A C T,590024,Fertilizers & Agrochemicals,Fertilizers
